,Exclusion,Inclusion,NCT
720,,I,NCT02320721
721,":            -  History of Type 2 Diabetes mellitus (T2DM) or maturity onset diabetes of the young              (MODY), pancreatic surgery, or chronic pancreatitis that could result in decreased              beta cell capacity            -  Taking any non-insulin antihyperglicemic agent within 1 month prior to screening            -  Taking GLP-1 receptor agonist within 2 months prior to screening for once weekly              administration and within 1 month prior to screening for once or twice daily              administration            -  Taking metformin and/or thiazolidinediones within 2 months prior to screening            -  History of diabetes ketoacidosis requiring medical intervention within 1 month prior              to screening            -  History of hospital admission for glycemic control (either hyperglycemia or              hypoglycemia) within 1 month prior to screening            -  Frequent episodes of severe hypoglycemia (more than one episode requiring medical              assistance, emergency care), and/or glucagon therapy administered by a third-party              individual within 1 month prior to screening            -  History of Addison's disease",":            -  Diagnosis of Type 1 Diabetes mellitus (T1DM)            -  Central laboratory C-peptide < 0.7 ng/ml (0.23 nmol/L)            -  Insulin use for at least 12 months per patient reported or medical records            -  Method of insulin administration (MDI or CSII) must have been unchanged for at least 3              months prior to screening            -  Subjects must be on a total insulin dose of ≥ 0.3 U/kg/day for at least 3 months prior              to screening            -  If on MDI insulin administration, subject must be on ≥ 3x injections per day            -  Screening Visit: Central laboratory HbA1c ≥ 7.7% and ≤ 11.0%            -  Body mass index (BMI) ≥ 18.5 kg/m2          ",NCT02460978
722,":            1. Patient has clinical evidence of gangrene on any part of the affected foot.            2. The patient's ulcer is due to a nondiabetic etiology. Ulcers of arterial, venous              stasis, pressure, radiation, traumatic, rheumatoid, vasculitis, collagen vascular              disease,or other nondiabetic etiologies are not to be enrolled.            3. Patient's ulcer has tunnels or sinus tracts that cannot be completely debrided.            4. Patient's diabetes is uncontrolled and could interfere with the completion of the              study.            5. Patient has one or more medical condition(s), including renal, hepatic, hematologic,              neurologic, or immune disease that in the opinion of the Investigator would make the              patient an inappropriate candidate for this wound healing study.            6. Patient has or has had a malignant disease (other than cutaneous epithelioma) not in              remission for five years or more.            7. Patient is receiving oral or parenteral corticosteroids, immunosuppressive or              cytotoxic agents, or is anticipated to require such agents during the course of the              study.            8. Patient has Acquired Immunodeficiency Syndrome (AIDS) or Human Immunodeficiency Virus              (HIV).            9. Patient has participated in another study utilizing an investigational drug or device              within the previous 30 days.           10. Patient's ulcer is infected or accompanied by active cellulitis, osteomyelitis as              determined by the investigator           11. Patient has any condition(s) that seriously compromises the patient's ability to              complete this study.",":            -  1. Patient is 18 years old or older.               2. Patient has a current diagnosis of diabetes (Type 1 or 2).               3. Patient's fissure or foot ulcer is on the plantar surface of the foot.               4. Patient's fissure or ulcer is at least a partial thickness wound extending through              the epidermis and at least part of the dermis. The wound may extend through the dermis              and into subcutaneous tissue (granulation tissue may be present), but without exposure              of muscle, tendon, bone, or joint capsule (Wagner Grade 1).               5. Patient's wound is free of necrotic debris and clinical infection, should be              comprised of healthy, vascular tissue.               6. Patient's Ankle-Brachial Index (ABI) by Doppler is 0.7.               7. The patient has adequate circulation to the foot to allow for healing.          This must be demonstrated by either of the following methods:          The patient has a palpable pulse on the study foot (either dorsalis pedis, posterior         tibial, or peroneal artery) and has clinical signs of adequate circulation in the foot         (e.g., toes are warm and pink).          If either there are no palpable pulses or clinical signs of adequate circulation are         lacking, the Investigator must perform an additional assessment to assure that there is         adequate circulation to the foot. Transcutaneous oxygen tension (TcPo2),         photoplethysmography (PPG), Toe-Arm Index, Doppler wave form, Cardiosynchronous Limb         Compression (CSC), Pulse Volume Recording (PVR) or exercise Ankle-Brachial Index (ABI).         Determination of adequate circulation must be according to generally accepted criteria for         the particular test employed. The additional assessments must be documented in the         patient's source document and Case Report Form.          8. Patient's diabetes is under control as determined by the Investigator from daily         glucometer diary entries.          9. Patient and caregiver are willing to participate in the clinical study and can comply         with the follow-up regimen.          10.Patient or his/her legal representative has read and signed the Institutional Review         Board (IRB) approved Informed Consent form before treatment.          ",NCT01951859
723,:            -  Previous vein stent implantation involving study leg or inferior vena cava            -  Previous bypass surgery or endovascular intervention involving study leg            -  Known metal allergy            -  Known reaction or sensitivity to iodinated contrast that cannot be managed with              premedication            -  Acute deep venous thrombosis involving either leg            -  Known history of chronic occlusion of any vein in the study leg            -  Venous compression caused by tumor encasement            -  Venous outflow obstruction caused by tumor thrombus            -  Elevated baseline blood creatinine (>1.5)            -  Pregnancy            -  Life expectancy <12 months,:            -  Presence of diabetic foot ulcer within the foot (located distal to the ankle and              proximal to base of toes)            -  Lower extremity edema            -  MRA or CTA showing stenosis of iliac vein or indirect findings that suggest presence              of iliac vein stenosis (distal venous dilation and presence of collateral veins)            -  At least one palpable pedal pulse or ABI>0.9 IVUS confirmation of iliac vein stenosis          ,NCT03404895
724,,I,NCT02836574
725,":            -  Has a history of significant renal, vascular, pulmonary, gastrointestinal, neurologic,              hematologic, rheumatologic, or psychiatric disease or immune suppression or immune              deficiency.            -  Has significant cardiovascular disease, including history of myocardial infarction,              congestive heart failure, angina, abnormal electrocardiogram or abnormal stress test            -  Has active infections, is prone to infections or has chronic, recurrent or              opportunistic infectious disease, including but not limited to, chronic renal              infection, chronic chest infection (example [eg.], bronchiectasis), sinusitis,              recurrent urinary tract infection (eg., recurrent pyelonephritis, chronic cystitis),              Pneumocystis carinii, aspergillosis, latent or active granulomatous infection,              histoplasmosis, or coccidioidomycosis or an open, draining, or infected non-healing              skin wound or ulcer            -  Has a clinically active infection with Epstein-Barr virus (EBV) or an EBV viral load              >=10,000 copies per milliliter (mL) of plasma obtained at study screening. Has a              clinically active infection with cytomegalovirus (CMV) or a CMV viral load >= 10,000              copies per milliliter (mL) of plasma obtained at study screening            -  Current or prior (within 30 days of screening) treatment that is known to cause a              significant, ongoing change in the course of T1D or immunologic status, including              high-dose inhaled, extensive topical, or systemic glucocorticoids            -  Has another autoimmune disease (eg, rheumatoid arthritis [RA], polyarticular juvenile              idiopathic arthritis [pJIA], psoriatic arthritis [PsA], ankylosing spondylitis [AS],              multiple sclerosis [MS], systemic lupus erythematosus [SLE], celiac disease              [clinically symptomatic and antibody positive, that is, tissue transglutaminase              Immunoglobulin A [IgA]) excluding clinically stable autoimmune thyroiditis whether              treated or untreated            -  Has any of the following tuberculosis [TB] screening criteria: A history of latent or              active TB prior to screening (including but not limited to a positive QuantiFERON®-TB              Gold test), signs or symptoms suggestive of active TB upon medical history and/or              physical examination, recent close contact with a person with known or suspected              active TB            -  Has known allergies, intolerance and/or hypersensitivity to human immunoglobulin              proteins, golimumab or any of its components or its excipients",":            -  Be positive for at least 1 of the following diabetes-related autoantibodies obtained              at study screening: Glutamic acid decarboxylase (GAD-65), islet antigen 2 (IA-2), zinc              transporter 8 (ZnT8), Islet Cell Cytoplasmic Autoantibodies (ICA), or Insulin (if              obtained within 10 days of the onset of exogenous insulin therapy)            -  Have a peak stimulated C-peptide level greater than or equal to (>=) 0.2 picomole per              milliliter (pmol/mL) following a 4-hour Mixed-meal Tolerance Test (MMTT) obtained at              study screening            -  Be medically stable on the basis of physical examination, medical history, and vital              signs performed at screening. If there are abnormalities, they must be consistent with              the underlying illness in the study population            -  Females of childbearing potential must have a negative serum (beta-human chorionic              gonadotropin [beta-hCG]) test at screening and a negative urine pregnancy test at the              Week 0 visit            -  Participants (or their legally acceptable representatives) are willing and able to              adhere to requirements, prohibitions, and restrictions specified in this protocol          ",NCT02846545
726,":            1. DSM IV diagnosis other than Schizophrenia or Schizoaffective disorder            2. Unstable epilepsy            3. Acute, unstable or significant medical condition            4. Suicidal or physically violent behavioral episodes in the previous month            5. Current DSM IV diagnosis of substance or alcohol abuse with positive urine toxicology              in the past two weeks.            6. Liver enzyme test values ≥ three times upper normal limit for AST, ALT, GGT, and              Alkaline Phosphatase; ≥ two times upper limit for LDH.",:            1. Aged 18 to 65 years            2. DSM IV diagnosis of schizophrenia (all subtypes) or schizoaffective disorder            3. Diabetes Mellitus type II treated with oral antidiabetic drugs or insulin            4. Stable dose of antipsychotic regimen for previous one month.            5. Stable dose of antidepressant regimen for previous one month.            6. Stable dose of adjunctive mood stabilizer and/or anticholinergic regimen for previous              1 month            7. Signed informed consent            8. Absence of significant cardiovascular pathology as demonstrated by EKG (QTc < 450              millisec)            9. Absence of severe medical conditions (except for DM) requiring frequent changes in              medication.          ,NCT00395031
727,,I,NCT01837680
728,":            -  Female who is pregnant, breast-feeding or intends to become pregnant or is of              child-bearing potential and not using an adequate contraceptive method (adequate              contraceptive measure as required by local regulation or practice) For Japan only:              Adequate contraceptive measures are abstinence (not having sex), diaphragm, condom (by              the partner), intrauterine device, sponge, spermicide or oral contraceptives.For Czech              Republic only: Adequate contraceptive measures are always one highly reliable method              (such as intrauterine device, sterilisation of one of the partners, hormonal birth              control methods) plus one supplementary barrier method (such as condom, diaphragm)              with a spermicide. In justified cases, this combination may be replaced with a              double-barrier method with a spermicide. Total sexual abstinence may also be              considered contraception. (Please note: hormonal contraception should always be              discussed with a gynaecologist)            -  Any disorder, which in the investigator's opinion might jeopardise subject's safety or              compliance with the protocol            -  Family or personal history of multiple endocrine neoplasia type 2 or medullary thyroid              carcinomas            -  History of pancreatitis (acute or chronic)            -  History of major surgical procedures involving the stomach potentially affecting              absorption of trial product (e.g. subtotal and total gastrectomy, sleeve gastrectomy,              gastric bypass surgery)            -  Any of the following: myocardial infarction, stroke or hospitalisation for unstable              angina or transient ischaemic attack within the past 180 days prior to the day of              screening and randomisation            -  Subjects presently classified as being in New York Heart Association Class IV.            -  Planned coronary, carotid or peripheral artery revascularisation known on the day of              screening            -  Subjects with alanine aminotransferase above 2.5 x upper normal limit            -  Renal impairment defined as estimated glomerular filtration rate below 60 mL/min/1.73              m^2 as per Chronic Kidney Disease Epidemiology Collaboration formula            -  Treatment with any medication for the indication of diabetes or obesity in a period of              90 days before the day of screening. An exception is short-term insulin treatment for              acute illness for a total of below or equal to 14 days            -  Proliferative retinopathy or maculopathy requiring acute treatment. Verified by fundus              photography or dilated fundoscopy performed within 90 days prior to randomisation            -  History or presence of malignant neoplasms within the last 5 years (except basal and              squamous cell skin cancer and in-situ carcinomas)",":            -  Informed consent obtained before any trial-related activities. Trial-related              activities are any procedures that are carried out as part of the trial, including              activities to determine suitability for the trial            -  Male or female, age above or equal to 18 years at the time of signing informed              consent.For Japan only: Male or female, age above or equal to 20 years at the time of              signing informed consent. For Algeria only: Male or female, age above or equal to 19              years at the time of signing informed consent            -  Diagnosed with type 2 diabetes mellitus for at least 30 days prior to day of screening            -  HbA1c (glycosylated haemoglobin) between 7.0-9.5% (53-80 mmol/mol) (both inclusive)            -  Treatment with diet and exercise for at least 30 days prior to day of screening          ",NCT02906930
729,":          TZD, metformin, Exenatide, sitagliptin CHF, CAD CRF Anemia",":          Type 2 Diabetes Non diabetic, weight, sex, age matched          ",NCT00609154
730,":            -  Use within the last three months prior to Visit 1 of: Exenatide, Liraglutide or              Thiazoledinediones (TZDs) other than Pioglitazone            -  Cardiovascular disease (CVD) defined as: stroke; decompensated heart failure New York              Heart Association (NYHA) class III or IV; myocardial infarction; unstable angina              pectoris; or coronary arterial bypass graft or angioplasty within the last six months              prior to Visit 1            -  Recurrent severe hypoglycaemia (more than one severe hypoglycaemic episode during the              last 12 months), or hypoglycaemic unawareness as judged by the Investigator, or              hospitalisation for diabetic ketoacidosis during the previous six months            -  Pregnancy, breast-feeding, the intention of becoming pregnant or not using adequate              contraceptive measures according to local requirements            -  Previous participation in this trial. Participation is defined as started on trial              medication. Rescreening of screening failures is allowed only once within the limits              of the recruitment period            -  Known or suspected hypersensitivity to trial products or related products",":            -  Type 2 diabetes mellitus (diagnosed clinically) for at least 6 months            -  HbA1c maximum 10 % by central laboratory analysis            -  Current treatment with basal-oral therapy (BOT) (no prandial insulin ever) consisting              of: at least three months with insulin glargine once daily (average prescribed dose              must have been unchanged (within plus/minus 10%) for four weeks prior to Visit 1 as              confirmed by patient records or verbal confirmation by the subject) in combination              with stable (unchanged doses for at least 3 months prior to Visit 1) OAD (metformin,              insulin secretagogues, pioglitazone, sitagliptin or alpha-glucosidase-inhibitor)              treatment in any approved (according to label) dose or combination          ",NCT01135992
731,":            -  Are immunodeficient or have clinically significant chronic lymphopenia (low white              blood cell count)            -  Have an active infection            -  Have a positive PPD test result            -  Be currently pregnant or lactating, or anticipate getting pregnant            -  Ongoing use of medications known to influence glucose tolerance            -  Require use of other immunosuppressive agents            -  Have serologic evidence of current or past HIV, Hepatitis B, or Hepatitis C infection            -  Have any complicating medical issues or abnormal clinical laboratory blood counts or              results that interfere with study conduct; history of malignancies            -  Be currently participating in another type 1 diabetes treatment study",":            -  Between the ages of 6-45 years            -  Be within 3-months (100 days) of diagnosis of type 1 diabetes            -  Must have at least one diabetes-related autoantibody present            -  Must have stimulated C-peptide levels >0.2 pmol/ml measured during a mixed meal              tolerance test (MMTT) conducted at least 21 days from diagnosis and within 37 days of              randomization            -  If participant is female with reproductive potential, she must be willing to avoid              pregnancy and have a negative pregnancy test during the 12 months of treatment and for              an additional 3 months after completing treatment            -  Be at least one month from time of last live immunization received            -  Willing to forgo live vaccinations for 24 months            -  Must be willing to comply with intensive diabetes management            -  Must weigh at least 20 kg (44 lbs) at study entry          ",NCT00947427
732,":            -  Diabetes at baseline            -  FPG >126 mg/dl*            -  2-h plasma glucose >200 mg/dl based on 75-g OGTT, if available. OGTT will not be              required (see above note).            -  Diabetes diagnosed by a physician and confirmed by other clinical data, other than              during pregnancy.            -  Ever used antidiabetic medication, other than during pregnancy            -  Medical conditions likely to limit life span and/or increase risk of intervention            -  Cardiovascular disease            -  Hospitalization for treatment of heart disease in past 6 months New York Heart              Association Functional Class> 2            -  Left bundle branch block or third degree AV block Aortic stenosis            -  Systolic blood pressure> 180 mmHg or diastolic blood pressure> 105 mmHg            -  Cancer requiring treatment in the past 5 years, unless the prognosis is considered              good            -  Renal disease (creatinine GFR < or = 30 ml/hr or > 2.0 mg/dl if GFR not available).            -  Anemia (hematocrit <36% in men or <33% in women)            -  Hepatitis (based on history or serum transaminase elevation)            -  Other gastrointestinal disease (pancreatitis, acute inflammatory bowel disease)            -  Recent or significant abdominal surgery            -  Pulmonary disease with dependence on oxygen or daily use of bronchodilators            -  Chronic infection (e.g., HIV, active tuberculosis)            -  Conditions or behaviors likely to affect conduct of the trial            -  Unable to communicate with clinic staff (e.g., read and speak English).            -  Unwilling to accept treatment assignment by randomization            -  Participation in another intervention research project that might interfere with DPP            -  Weight loss of > 10% in past 6 months for any reason except postpartum weight loss            -  Unable to walk 0.25 miles in 10 min            -  Currently pregnant or within 3 months postpartum            -  Currently nursing or within 6 weeks of having completed nursing            -  Pregnancy anticipated during the course of the trial            -  Unwilling to undergo pregnancy testing or report possible pregnancy promptly            -  Unwilling to take adequate contraceptive measures, if potentially fertile            -  Major psychiatric disorder, including severe active major depression, severe anxiety,              schizophrenia, manic depression, bi-polar disorder            -  Excessive alcohol intake, either acute or chronic            -  Medications and medical conditions likely to confound the assessment for diabetes              including:                 -  Niacin, in doses indicated for lowering serum triglycerides                 -  Glucocorticoids, systemic            -  Other prescription weight-loss medications            -  Active Thyroid disease, suboptimally treated as indicated by abnormal serum              thyroid-stimulating hormone            -  Other endocrine disorders (e.g., Cushing's syndrome, acromegaly)            -  Fasting plasma triglyceride >600 mg/dl, despite treatment",":            -  Age >18 years            -  BMI >24 kg/m2 (>22 kg/m2 among Asian Americans)            -  IGT (2-h plasma glucose 140~199 mg/dl based on 75-g OGTT if available). The OGTT will              not be required for inclusion, but the CMA practitioners may wish to recommend the              OGTT for their patients.            -  Elevated FPG (95~125 mg/dl*).            -  HDL-triglyceride ration > 3.5.          ",NCT00729079
733,":            1. Type 1 diabetes and/or history of ketoacidosis determined by medical history            2. History of severe diabetic neuropathy including autonomic neuropathy, gastroparesis or              lower limb ulceration or amputation            3. History of long-term therapy with insulin (>30 days) within the last year            4. Therapy with rosiglitazone (Avandia) or pioglitazone (Actos), or extendin-4 (Byetta),              alone or in combination in the previous 6 months            5. Pregnancy or lactation            6. Patients requiring corticosteroids within 3 months or recurrent continuous oral              corticosteroid treatment (more than 2 weeks)            7. Use of weight loss drugs [e.g., Xenical (orlistat), Meridia (sibutramine), Acutrim              (phenylpropanol-amine), or similar over-the-counter medications] within 3 months of              screening or intentional weight loss of ≥ 10 lbs in the previous 6 months            8. Surgery within 30 days prior to screening            9. Serum creatinine >1.4 for women and >1.5 for men or eGFR <60 [possible chronic kidney              disease stage 3 or greater calculated using the Modification of Diet in Renal Disease              (MDRD) equation.           10. History of chronic liver disease including hepatitis B or C           11. History of peptic ulcer or endoscopy demonstrated gastritis           12. History of acquired immune deficiency syndrome or human immunodeficiency virus (HIV)           13. History of malignancy, except participants who have been disease-free for greater than              10 years, or whose only malignancy has been basal or squamous cell skin carcinoma           14. New York Heart Association Class III or IV cardiac status or hospitalization for              congestive heart failure           15. History of unstable angina, myocardial infarction, cerebrovascular accident, transient              ischemic attack or any revascularization within 6 months           16. Uncontrolled hypertension (defined as systolic blood pressure >150 mmHg or diastolic              blood pressure >95 mmHg on three or more assessments on more than one day)           17. History of drug or alcohol abuse, or current weekly alcohol consumption >10 units/week              (1 unit = 1 beer, 1 glass of wine, 1 mixed cocktail containing 1 ounce of alcohol)           18. Hemoglobin <12 g/dL (males), <10 g/dL (females) at screening           19. Platelets <100,000 cu mm at screening.           20. AST (SGOT) >2.50 x ULN or ALT (SGPT) >2.50 x ULN at screening           21. Total Bilirubin >1.50 x ULN at screening           22. Triglycerides (TG) >500 mg/dL at screening           23. Poor mental function or any other reason to expect patient difficulty in complying              with the requirements of the study           24. Previous allergy to aspirin           25. Chronic or continuous use (daily for more than 7 days) of nonsteroidal              anti-inflammatory drugs within the preceding 2 months           26. Use of warfarin (Coumadin), clopidogrel (Plavix) or other anticoagulants           27. Use of probenecid (Benemid, Probalan), sulfinpyrazone (Anturane) or other uricosuric              agents",":            1. Type 2 diabetes on diet and exercise therapy or monotherapy with metformin, insulin              secretagogue, or alpha-glucosidase inhibitors, or a low-dose combination of these at ≤              50% maximal dose (see Appendix). Dosing is stable for 8 weeks prior to randomization.            2. FPG ≤ 225 mg/dL and HbA1c>7% and ≤9.5% at screening            3. Age ≥18 and <75            4. Women of childbearing potential agree to use an appropriate contraceptive method              (hormonal, IUD, or diaphragm)          ",NCT00392678
734,,I,NCT00108004
735,":            -  Type 1 diabetes mellitus or history of diabetic ketoacidosis, mature onset diabetes of              the young (MODY)            -  Kidney transplant",":            -  Type 2 diabetes mellitus            -  Renal impairment (moderate and severe)            -  Currently on stable doses of background medication of SU, TZD, acarbose, meglitinide,              insulin or any combination thereof, or on no antidiabetic drugs at all            -  HbA1c 7.0% - 10.5%, inclusive            -  Male or female subjects between the ages of 18 and 85 years, inclusive.          ",NCT00958269
736,,I,NCT00881530
737,,I,NCT01897532
738,":            -  Participated in NN1250-3643 and treated with insulin glargine            -  Previous treatment with glucacon like peptide (GLP-1) receptor agonists (e.g.              exenatide, liraglutide)            -  Impaired liver function, defined as alanine aminotransferase (ALAT) 2.5 times the              upper limit of normal at end of treatment in NN1250-3643            -  Impaired renal function defined as serum-creatinine = 125 µmol/l (= 1.4 mg/dl) for              males and = 110 µmol/L (= 1.3 mg/dl) for females or according to local label for              metformin [For France: glomerular filtration rate below 60 ml/min, calculated by the              Cockroft & Gault formula] at end of treatment in NN1250-3643.",:            -  Informed consent obtained before any trial-related activities. (Trial-related              activities are any procedure that would not have been performed during normal              management of the subject).            -  The subject must have completed the end of treatment visit of NN1250-3643 with Insulin              degludec once daily + metformin.            -  Ability and willingness to adhere to the protocol including self measurement of plasma              glucose according to the protocol          ,NCT01388361
739,":            -  Pregnancy or lactation            -  Absence of medically approved contraceptive methods in females of childbearing              potential            -  History of allergic reaction to modified cellulose, citric acid, sodium stearyl              fumarate, raw cane sugar, gelatin, and titanium oxide            -  Administration of investigational products within 1 month prior to Screening Visit            -  Subjects who stopped smoking within 6 months prior to Screening Visit or considering              smoking cessation during the study            -  Subjects anticipating surgical intervention during the study            -  Known Type 1 diabetes            -  History of eating disorders            -  Angina, coronary bypass, or myocardial infarction within 6 months prior to Screening              Visit            -  History of: swallowing disorders, esophogeal anatomic abnormalities, gastroesophageal              reflux disease, gastric or duodenal ulcer, gastroparesis (chronic nausea, vomiting,              heartburn...), gastric bypass or other gastric surgery, intestinal obstruction or at              high risk of including suspected small bowel adhesion, pancreatitis, malabsorption,              history of bowel resection (except if related to appendectomy), history of abdominal              radiation treatment            -  Laxative users            -  History of: HIV, hepatitis B or C; cancer within the past 5 years            -  Abnormal serum thyroid-stimulating hormone (TSH)            -  Positive urine drug test            -  Anti-obesity medication within 1 month prior to Screening Visit (except stable doses              of metformin, no more than 1500 mg/day, for at leaset 1 month in subjects with type 2              diabetes)            -  Systemic corticosteroids within 1 month prior to Screening Visit            -  Thyroid hormones or preparations within 1 month prior to Screening Visit            -  Estrogen within 1 month prior to Screening Visit            -  Any other medication known to cause weight loss or weight gain within 1 month prior to              Screening Visit            -  TSH suppression therapy for thyroid cancer            -  medications requiring mandatory administration with meal (lunch or dinner), except              metformin            -  Other medication or product used for chronic diseases if their impaired              gastrointestinal absorption can cause safety issues            -  Change in medications treating hypertension and/or dyslipidemia within 1 month prior              to Screening Visit (including change in dose)            -  Anticipated requirement for use of prohibited concomitant medication",":            -  Age 22 to 65 years of age, inclusive            -  Signed Informed Consent Form            -  BMI 27 to 40, inclusive (BMI of <30 should have at least one comorbidity)            -  Fasting plasma glucose 90mg/dL to 145 mg/dL, inclusive; non-diabetic normoglycemic              (fasting glucose 90 mg/dL to 100 mg/dL, inclusive); non-diabetic impaired fasting              glucose 100mg/dL to 126 mg/dL; and diabetic: untreated (126 mg/dL to 145 mg/dL,              inclusive) and metformin-treated (metformin dose 1500mg/DL and less, fasting glucose              less than 145 mg/dL, inclusive)          ",NCT02307279
740,,P,NCT01130207
741,":            -  Subjects with known sensitivity to components of the Arteriocyte BioBandage™ (calcium              chloride, thrombin, acid citrate dextrose solution A (ACDA)).            -  Current treatment of another chronic wound in the same limb (defined as arm or leg).            -  Wound is not of DFU, PU, or VU pathophysiology.            -  PU is classified as late stage III or stage IV.            -  Confirmed presence of osteomyelitis, or if osteomyelitis is suspected.            -  Received systemic corticosteroids or immunosuppressive agents, hyperbaric oxygen              therapy (HBOT), electrostimulation, growth factors, or any cell or tissue-derived              products for wounds during the 30 days preceding the screening visit.            -  Any chronic condition requiring the use of systemic corticosteroids 30 days prior to              study entry and anytime during the course of the study.            -  Received radiation therapy or chemotherapy within previous 6 months.            -  Any malignancy other than non-melanoma skin cancer.            -  Patient has radiographic evidence consistent with diagnosis of neuropathic              osteoarthropathy (Charcot foot) in the treatment limb.            -  Ulcer area decreases by greater than or equal to 30% during screening period            -  Subjects who are cognitively impaired and do not have a healthcare proxy.            -  Subject has inadequate venous access for repeated blood draw required for PRP              preparation.            -  Subject has sickle cell anemia.            -  Subject is pregnant or plans to become pregnant during the duration of the trial.            -  Concurrent participation in a clinical trial in which an investigational agent is              used.            -  Females who are nursing.            -  Subjects with Thrombocytopenia < 100,000 platelets/µL.",":            -  Medicare Eligible            -  Written informed consent obtained from either the subject or the subject's legally              acceptable representative prior to screening activities            -  Male or female ≥ 18 years of age            -  Duration of Diabetic Foot Ulcers (DFU),Venous Ulcers (VU), or Pressure Ulcers (PU) is              greater than 30 days at first visit/subject screening            -  DFU is classified as Wagner 1 -2 on the Wagner classification system            -  If more than one non-healing wound is present, the largest of the wounds that is              classified as a Wagner 1 - 2.            -  If a subject has multiple eligible wounds, the largest wound will be selected. There              must be at least 4 cm between the index wound and other wounds; if all wounds are              closer than 4 cm, the subject should not be enrolled (screen failure).            -  The ulcer must be clinically non-infected            -  Able and willing to comply with the procedures required by the protocol. Subjects may              be managed as either inpatient or outpatient.            -  If a female of childbearing potential, the subject must have a negative urine              pregnancy test at screening and must agree to use adequate contraception methods for              the duration of the study.            -  Ankle Brachial Index (ABI) greater than or equal to 0.7.          ",NCT02071979
742,:            -  1) age < 8 or > 17 years; 2) the determination of significant abnormalities on an              initial graded exercise test performed by a pediatric cardiologist; 3) past history of              chemotherapy or whole-body radiation therapy,":            -  : a) in the 85th percentile Body Mass Index(BMI), standardized for age and gender; b)              have hypercholesterolemia as defined as total cholesterol > 170 mg/dl or LDL > 110              mg/dl; and / or c) hypertension as defined as >116/76 for 8-10 year olds, > 120/80 for              10-13 year olds, and >125/890 for 14-17 year olds.          ",NCT02024399
743,":            -  Known or suspected hypersensitivity to trial product(s) or related products            -  Previous participation in this trial. Participation is defined as signed informed              consent            -  Female who is pregnant, breast-feeding or intends to become pregnant or is of              child-bearing potential and not using an adequate contraceptive method (adequate              contraceptive measure as required by local regulation or practice)            -  Participation in any clinical trial of an approved or non-approved investigational              medicinal product within 90 days prior to the day of screening            -  Any disorder which in the investigator's opinion might jeopardise subject's safety or              compliance with the protocol            -  Subject with alanine aminotransferase (ALT) above 2.5 x upper normal limit (UNL)            -  Family or personal history of multiple endocrine neoplasia type 2 or medullary thyroid              carcinoma. Family is defined as a first degree relative            -  History or presence of pancreatitis (acute or chronic)            -  History of diabetic ketoacidosis (DKA)            -  Any of the following: myocardial infarction (MI), stroke, hospitalization for unstable              angina or transient ischaemic attack within the past 180 days prior to the day of              screening            -  Subjects presently classified as being in New York Heart Association (NYHA) Class IV            -  Planned coronary, carotid or peripheral artery revascularisation known on the day of              screening            -  Renal impairment measured as eGFR below 60 ml/min/1.73 m^2 as defined by Kidney              Disease Improving global outcomes (KDIGO 2012) classification using isotope dilution              mass spectrometry (IDMS) for serum creatinine measured at screening            -  Treatment with any medication for the indication of diabetes or obesity other than              stated in the inclusion criteria within the past 90 days prior to the day of              screening. However, short term insulin treatment for a maximum of 14 days prior to the              day of screening is allowed            -  Proliferative retinopathy or maculopathy requiring acute treatment. Verified by fundus              photography or dilated fundoscopy performed within the past 90 days prior to              randomisation            -  Presence or history of malignant neoplasms within the past 5 years prior to the day of              screening. Basal and squamous cell skin cancer and any carcinoma in-situ is allowed            -  Medical history of diabetes-related lower limb amputations or signs of critical lower              limb ischemia, (e.g. skin ulcer, osteomyelitis, or gangrene) within the last 26 weeks              prior to screening",":            -  Informed consent obtained before any trial-related activities. Trial-related              activities are any procedures that are carried out as part of the trial, including              activities to determine suitability for the trial            -  Male or female, age equal to or above18 years at the time of signing informed consent            -  Diagnosed with type 2 diabetes mellitus (T2D)            -  HbA1c of 7.0-10.5% (53-91 mmol/mol, both inclusive)            -  Stable daily dose of metformin (equal to or above1500 mg or maximum tolerated dose as              documented in the subject medical record and in compliance with current local label)              for at least 90 days prior to the day of screening          ",NCT03136484
744,":            -  Type 1 diabetes for less than 12 months.            -  Coronary event or procedure (myocardial infarction, unstable angina, coronary artery              bypass, surgery or coronary angioplasty) in the previous four weeks            -  Hepatic disease (transaminase > 3 times normal) or cirrhosis            -  ESRD on hemodialysis; and or e-GFR less than 30 ml/min/1.73m2            -  HIV or Hepatitis C positive status            -  Participation in any other concurrent clinical trial            -  Any other life-threatening, non-cardiac disease            -  Use of an investigational agent or therapeutic regimen within 30 days of study            -  History of pancreatitis            -  Pregnancy            -  Inability to give informed consent            -  History of gastroparesis            -  History of medullary thyroid carcinoma or MEN 2 syndrome            -  Family history of MEN 2, Family history of medullary thyroid cancer, or familial              medullary thyroid cancer            -  Women of childbearing potential who are not using adequate contraception            -  Women who are pregnant            -  History of serious hypersensitivity reaction to these agents.",:            -  Patients with type 1 diabetes mellitus: Fasting c-peptide < 0.1nmol/l on insulin              therapy for more than 12 months with or without history of diabetic ketoacidosis and              treatment with liraglutide at maximal tolerated doses for at least 6 months prior to              start of the study.            -  Willing to use a continuous glucose monitoring device (CGM) and regularly measuring              their blood sugars four times daily            -  HbA1c of less than or equal to 11%.            -  Well versed with carbohydrate counting            -  Age 18-75 years          ,NCT02518945
